COD_MUNICIPIO;MUNICIPIO;UG;;
01001;Alegría-Dulantzi;99474;;
01002;Amurrio;01002;;
01003;Aramaio;01003;;
01004;Artziniega;01004;;
01006;Armiñón;99476;;
01008;Arratzua-Ubarrundia;01008;;
01009;Asparrena;99474;;
01010;Ayala/Aiara;01010;;
01011;Baños de Ebro/Mañueta;99477;;
01013;Barrundia;99474;;
01014;Berantevilla;99476;;
01016;Bernedo;99475;;
01017;Campezo/Kanpezu;99475;;
01018;Zigoitia;01018;;
01019;Kripan;99477;;
01020;Kuartango;99476;;
01021;Elburgo/Burgelu;99474;;
01022;Elciego;99477;;
01023;Elvillar/Bilar;99477;;
01027;Iruraiz-Gauna;99474;;
01028;Labastida/Bastida;99477;;
01030;Lagrán;99475;;
01031;Laguardia;99477;;
01032;Lanciego/Lantziego;99477;;
01033;Lapuebla de Labarca;99477;;
01034;Leza;99477;;
01036;Laudio/Llodio;01036;;
01037;Arraia-Maeztu;99475;;
01039;Moreda de Álava/Moreda Araba;99477;;
01041;Navaridas;99477;;
01042;Okondo;01042;;
01043;Oyón-Oion;99477;;
01044;Peñacerrada-Urizaharra;99475;;
01046;Erriberagoitia/Ribera Alta;99476;;
01047;Ribera Baja/Erribera Beitia;99476;;
01049;Añana;99476;;
01051;Salvatierra/Agurain;99474;;
01052;Samaniego;99477;;
01053;San Millán/Donemiliaga;99474;;
01054;Urkabustaiz;01054;;
01055;Valdegovía/Gaubea;99476;;
01056;Harana/Valle de Arana;99475;;
01057;Villabuena de Álava/Eskuernaga;99477;;
01058;Legutio;01058;;
01059;Vitoria-Gasteiz;01059;;
01060;Yécora/Iekora;99477;;
01061;Zalduondo;99474;;
01062;Zambrana;99476;;
01063;Zuia;01063;;
01901;Iruña Oka/Iruña de Oca;99476;;
01902;Lantarón;99476;;
02001;Abengibre;99472;;
02002;Alatoz;99472;;
02003;Albacete;99472;;
02004;Albatana;99472;;
02005;Alborea;99472;;
02006;Alcadozo;99472;;
02007;Alcalá del Júcar;99472;;
02008;Alcaraz;99472;;
02009;Almansa;99472;;
02010;Alpera;99472;;
02011;Ayna;99472;;
02012;Balazote;99472;;
02013;Balsa de Ves;99472;;
02014;Ballestero, El;99472;;
02015;Barrax;99472;;
02016;Bienservida;99472;;
02017;Bogarra;99472;;
02018;Bonete;99472;;
02019;Bonillo, El;99472;;
02020;Carcelén;99472;;
02021;Casas de Juan Núñez;99472;;
02022;Casas de Lázaro;99472;;
02023;Casas de Ves;99472;;
02024;Casas-Ibáñez;99472;;
02025;Caudete;99472;;
02026;Cenizate;99472;;
02027;Corral-Rubio;99472;;
02028;Cotillas;99472;;
02029;Chinchilla de Monte-Aragón;99472;;
02030;Elche de la Sierra;99472;;
02031;Férez;99472;;
02032;Fuensanta;99472;;
02033;Fuente-Álamo;99472;;
02034;Fuentealbilla;99472;;
02035;Gineta, La;99472;;
02036;Golosalvo;99472;;
02037;Hellín;99472;;
02038;Herrera, La;99472;;
02039;Higueruela;99472;;
02040;Hoya-Gonzalo;99472;;
02041;Jorquera;99472;;
02042;Letur;99472;;
02043;Lezuza;99472;;
02044;Liétor;99472;;
02045;Madrigueras;99472;;
02046;Mahora;99472;;
02047;Masegoso;99472;;
02048;Minaya;99472;;
02049;Molinicos;99472;;
02050;Montalvos;99472;;
02051;Montealegre del Castillo;99472;;
02052;Motilleja;99472;;
02053;Munera;99472;;
02054;Navas de Jorquera;99472;;
02055;Nerpio;99472;;
02056;Ontur;99472;;
02057;Ossa de Montiel;99472;;
02058;Paterna del Madera;99472;;
02059;Peñascosa;99472;;
02060;Peñas de San Pedro;99472;;
02061;Pétrola;99472;;
02062;Povedilla;99472;;
02063;Pozohondo;99472;;
02064;Pozo-Lorente;99472;;
02065;Pozuelo;99472;;
02066;Recueja, La;99472;;
02067;Riópar;99472;;
02068;Robledo;99472;;
02069;Roda, La;99472;;
02070;Salobre;99472;;
02071;San Pedro;99472;;
02072;Socovos;99472;;
02073;Tarazona de la Mancha;99472;;
02074;Tobarra;99472;;
02075;Valdeganga;99472;;
02076;Vianos;99472;;
02077;Villa de Ves;99472;;
02078;Villalgordo del Júcar;99472;;
02079;Villamalea;99472;;
02080;Villapalacios;99472;;
02081;Villarrobledo;99472;;
02082;Villatoya;99472;;
02083;Villavaliente;99472;;
02084;Villaverde de Guadalimar;99472;;
02085;Viveros;99472;;
02086;Yeste;99472;;
02901;Pozo Cañada;99472;;
03001;Adsubia;03001;;
