MUNICIPIO;COD_PROVINCIA;COD_MUNICIPIO;COD_CCAA;NUM_CONTENEDORES; HABITANTES ;
Agaete;35;35001;4;50; 5.599 ;
Agüimes;35;35002;4;188; 31.914 ;
Antigua;35;35003;4;128; 12.972 ;
Arrecife;35;35004;4;219; 64.645 ;
Artenara;35;35005;4;15; 1.049 ;
Arucas;35;35006;4;222; 38.334 ;
Betancuria;35;35007;4;6; 773 ;
Firgas;35;35008;4;55; 7.438 ;
Gáldar;35;35009;4;137; 24.370 ;
Haría;35;35010;4;49; 5.263 ;
Ingenio;35;35011;4;191; 31.694 ;
Mogán;35;35012;4;259; 20.487 ;
Moya;35;35013;4;62; 7.746 ;
Oliva, La;35;35014;4;247; 27.234 ;
Pájara;35;35015;4;242; 21.349 ;
Palmas de Gran Canaria, Las;35;35016;4;1469; 381.223 ;
Puerto del Rosario;35;35017;4;265; 41.808 ;
San Bartolomé;35;35018;4;105; 19.099 ;
San Bartolomé de Tirajana;35;35019;4;594; 53.397 ;
Aldea de San Nicolás, La;35;35020;4;55; 7.508 ;
Santa Brígida;35;35021;4;97; 18.394 ;
Santa Lucía de Tirajana;35;35022;4;303; 74.602 ;
Santa María de Guía de Gran Canaria;35;35023;4;70; 13.897 ;
Teguise;35;35024;4;199; 22.703 ;
Tejeda;35;35025;4;29; 1.883 ;
Telde;35;35026;4;613; 102.791 ;
Teror;35;35027;4;79; 12.522 ;
Tías;35;35028;4;178; 20.628 ;
Tinajo;35;35029;4;44; 6.434 ;
Tuineje;35;35030;4;82; 15.596 ;
Valsequillo de Gran Canaria;35;35031;4;55; 9.377 ;
Valleseco;35;35032;4;28; 3.727 ;
Vega de San Mateo;35;35033;4;51; 7.569 ;
Yaiza;35;35034;4;217; 17.040 ;
Adeje;38;38001;4;293; 49.030 ;
Agulo;38;38002;4;10; 1.110 ;
Alajeró;38;38003;4;23; 2.026 ;
Arafo;38;38004;4;38; 5.593 ;
Arico;38;38005;4;47; 8.111 ;
Arona;38;38006;4;418; 82.777 ;
Barlovento;38;38007;4;23; 1.926 ;
Breña Alta;38;38008;4;42; 7.247 ;
Breña Baja;38;38009;4;49; 5.821 ;
Buenavista del Norte;38;38010;4;30; 4.786 ;
Candelaria;38;38011;4;148; 28.383 ;
Fasnia;38;38012;4;15; 2.818 ;
Frontera;38;38013;4;50; 4.184 ;
Fuencaliente de la Palma;38;38014;4;26; 1.751 ;
Garachico;38;38015;4;24; 4.869 ;
Garafía;38;38016;4;27; 1.730 ;
Granadilla de Abona;38;38017;4;287; 51.233 ;
Guancha, La;38;38018;4;37; 5.540 ;
Guía de Isora;38;38019;4;142; 21.796 ;
Güímar;38;38020;4;98; 20.662 ;
Hermigua;38;38021;4;21; 1.775 ;
Icod de los Vinos;38;38022;4;135; 23.316 ;
San Cristóbal de La Laguna;38;38023;4;735; 158.911 ;
